source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0009617,response to bacterium,2.413068091834126e-09,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]",728,33,14,21026,0.42424242424242425,0.019230769230769232,query_1,['GO:0051707']
GO:BP,GO:0051239,regulation of multicellular organismal process,1.3247108865101245e-07,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",2956,33,21,21026,0.6363636363636364,0.007104194857916103,query_1,"['GO:0032501', 'GO:0050789']"
GO:BP,GO:0006955,immune response,2.950101097524489e-07,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",2070,33,18,21026,0.5454545454545454,0.008695652173913044,query_1,"['GO:0002376', 'GO:0050896']"
GO:BP,GO:0042221,response to chemical,3.3727319524802384e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",3909,33,23,21026,0.696969696969697,0.00588385776413405,query_1,['GO:0050896']
GO:BP,GO:0006950,response to stress,4.1501082882751693e-07,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",3948,33,23,21026,0.696969696969697,0.005825734549138805,query_1,['GO:0050896']
GO:BP,GO:0001775,cell activation,8.556581967865256e-07,True,"""A multicellular organismal process by which exposure to an activating factor such as a cellular or soluble ligand results in a change in the morphology or behavior of a cell."" [GOC:mgi_curators]",1132,33,14,21026,0.42424242424242425,0.012367491166077738,query_1,"['GO:0009987', 'GO:0032501']"
GO:BP,GO:0048518,positive regulation of biological process,1.5359133161679633e-06,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6264,33,27,21026,0.8181818181818182,0.004310344827586207,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0045321,leukocyte activation,1.8759913797994088e-06,True,"""A change in morphology and behavior of a leukocyte resulting from exposure to a specific antigen, mitogen, cytokine, cellular ligand, or soluble factor."" [GOC:add]",980,33,13,21026,0.3939393939393939,0.013265306122448979,query_1,"['GO:0001775', 'GO:0002376']"
GO:BP,GO:0001817,regulation of cytokine production,1.8920484626929626e-06,True,"""Any process that modulates the frequency, rate, or extent of production of a cytokine."" [GOC:add, ISBN:0781735149]",781,33,12,21026,0.36363636363636365,0.015364916773367477,query_1,"['GO:0001816', 'GO:0010468', 'GO:0051239']"
GO:BP,GO:0060326,cell chemotaxis,2.0500614334931505e-06,True,"""The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [GOC:dph]",323,33,9,21026,0.2727272727272727,0.02786377708978328,query_1,"['GO:0006935', 'GO:0016477', 'GO:0070887']"
GO:BP,GO:0001816,cytokine production,2.0635795307105955e-06,True,"""The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:add, ISBN:0781735149]",787,33,12,21026,0.36363636363636365,0.015247776365946633,query_1,"['GO:0010467', 'GO:0032501']"
